Body Regions;A01
Alangiaceae;B01.650.940.800.575.100.022
Alismatidae;B01.650.940.800.575.100.025
Alismataceae;B01.650.940.800.575.100.025.033
Alisma;B01.650.940.800.575.100.025.033.044
Sagittaria;B01.650.940.800.575.100.025.033.777
Hydrocharitaceae;B01.650.940.800.575.100.025.399
Potamogetonaceae;B01.650.940.800.575.100.025.699
Zosteraceae;B01.650.940.800.575.100.025.977
Aloe;B01.650.940.800.575.100.027
Amaranthaceae;B01.650.940.800.575.100.037
Achyranthes;B01.650.940.800.575.100.037.100
Amaranthus;B01.650.940.800.575.100.037.130
Celosia;B01.650.940.800.575.100.037.333
Anacardiaceae;B01.650.940.800.575.100.044
Anacardium;B01.650.940.800.575.100.044.277
Mangifera;B01.650.940.800.575.100.044.416
Pistacia;B01.650.940.800.575.100.044.555
Rhus;B01.650.940.800.575.100.044.666
Semecarpus;B01.650.940.800.575.100.044.705
Toxicodendron;B01.650.940.800.575.100.044.744
Annonaceae;B01.650.940.800.575.100.065
Annona;B01.650.940.800.575.100.065.500
Asimina;B01.650.940.800.575.100.065.750
Cananga;B01.650.940.800.575.100.065.781
Goniothalamus;B01.650.940.800.575.100.065.812
Guatteria;B01.650.940.800.575.100.065.875
Polyalthia;B01.650.940.800.575.100.065.937
Rollinia;B01.650.940.800.575.100.065.968
Uvaria;B01.650.940.800.575.100.065.984
Xylopia;B01.650.940.800.575.100.065.992
Apiaceae;B01.650.940.800.575.100.075
Anethum graveolens;B01.650.940.800.575.100.075.077
Angelica;B01.650.940.800.575.100.075.088
Angelica archangelica;B01.650.940.800.575.100.075.088.077
Angelica sinensis;B01.650.940.800.575.100.075.088.538
Apium graveolens;B01.650.940.800.575.100.075.099
Bupleurum;B01.650.940.800.575.100.075.144
Carum;B01.650.940.800.575.100.075.166
Centella;B01.650.940.800.575.100.075.180
Cnidium;B01.650.940.800.575.100.075.199
Coriandrum;B01.650.940.800.575.100.075.211
Cuminum;B01.650.940.800.575.100.075.233
Daucus carota;B01.650.940.800.575.100.075.288
Eryngium;B01.650.940.800.575.100.075.294
Ferula;B01.650.940.800.575.100.075.300
Foeniculum;B01.650.940.800.575.100.075.333
Hemlock;B01.650.940.800.575.100.075.388
Cicuta;B01.650.940.800.575.100.075.388.155
Conium;B01.650.940.800.575.100.075.388.188
Heracleum;B01.650.940.800.575.100.075.411
Levisticum;B01.650.940.800.575.100.075.488
Ligusticum;B01.650.940.800.575.100.075.511
Oenanthe;B01.650.940.800.575.100.075.568
Pastinaca;B01.650.940.800.575.100.075.625
Petroselinum;B01.650.940.800.575.100.075.750
Pimpinella;B01.650.940.800.575.100.075.798
Sanicula;B01.650.940.800.575.100.075.875
Thapsia;B01.650.940.800.575.100.075.937
Apocynaceae;B01.650.940.800.575.100.081
Alstonia;B01.650.940.800.575.100.081.043
Amsonia;B01.650.940.800.575.100.081.088
Apocynum;B01.650.940.800.575.100.081.131
Aspidosperma;B01.650.940.800.575.100.081.174
Catharanthus;B01.650.940.800.575.100.081.260
Holarrhena;B01.650.940.800.575.100.081.346
Nerium;B01.650.940.800.575.100.081.432
Ochrosia;B01.650.940.800.575.100.081.604
Rauwolfia;B01.650.940.800.575.100.081.777
Strophanthus;B01.650.940.800.575.100.081.833
Tabernaemontana;B01.650.940.800.575.100.081.888
Thevetia;B01.650.940.800.575.100.081.944
Vinca;B01.650.940.800.575.100.081.972
Voacanga;B01.650.940.800.575.100.081.986
Aquifoliaceae;B01.650.940.800.575.100.084
Ilex;B01.650.940.800.575.100.084.500
Ilex guayusa;B01.650.940.800.575.100.084.500.500
Ilex paraguariensis;B01.650.940.800.575.100.084.500.750
Ilex vomitoria;B01.650.940.800.575.100.084.500.875
Araceae;B01.650.940.800.575.100.085
Alocasia;B01.650.940.800.575.100.085.066
Amorphophallus;B01.650.940.800.575.100.085.077
Arisaema;B01.650.940.800.575.100.085.088
Arum;B01.650.940.800.575.100.085.109
Calla Plant;B01.650.940.800.575.100.085.177
Colocasia;B01.650.940.800.575.100.085.199
Cyrtosperma;B01.650.940.800.575.100.085.211
Philodendron;B01.650.940.800.575.100.085.488
Pinellia;B01.650.940.800.575.100.085.500
Xanthosoma;B01.650.940.800.575.100.085.944
Zantedeschia;B01.650.940.800.575.100.085.972
Araliaceae;B01.650.940.800.575.100.087
Acanthopanax;B01.650.940.800.575.100.087.033
Aralia;B01.650.940.800.575.100.087.249
Eleutherococcus;B01.650.940.800.575.100.087.374
Hedera;B01.650.940.800.575.100.087.412
Kalopanax;B01.650.940.800.575.100.087.431
Oplopanax;B01.650.940.800.575.100.087.450
Panax;B01.650.940.800.575.100.087.500
Panax notoginseng;B01.650.940.800.575.100.087.500.500
Arecaceae;B01.650.940.800.575.100.093
Areca;B01.650.940.800.575.100.093.088
Calamus;B01.650.940.800.575.100.093.188
Cocos;B01.650.940.800.575.100.093.211
Euterpe;B01.650.940.800.575.100.093.480
Phoeniceae;B01.650.940.800.575.100.093.615
Serenoa;B01.650.940.800.575.100.093.750
Aristolochiaceae;B01.650.940.800.575.100.096
Aristolochia;B01.650.940.800.575.100.096.211
Asarum;B01.650.940.800.575.100.096.233
Asclepiadaceae;B01.650.940.800.575.100.099
Asclepias;B01.650.940.800.575.100.099.038
Calotropis;B01.650.940.800.575.100.099.077
Cryptolepis;B01.650.940.800.575.100.099.099
Cynanchum;B01.650.940.800.575.100.099.110
Gymnema;B01.650.940.800.575.100.099.222
Gymnema sylvestre;B01.650.940.800.575.100.099.222.500
Hemidesmus;B01.650.940.800.575.100.099.249
Marsdenia;B01.650.940.800.575.100.099.500
Periploca;B01.650.940.800.575.100.099.750
Tylophora;B01.650.940.800.575.100.099.875
Vincetoxicum;B01.650.940.800.575.100.099.937
Asteraceae;B01.650.940.800.575.100.100
Achillea;B01.650.940.800.575.100.100.037
Achyrocline;B01.650.940.800.575.100.100.041
Ageratina;B01.650.940.800.575.100.100.046
Ageratum;B01.650.940.800.575.100.100.056
Ambrosia;B01.650.940.800.575.100.100.065
Ammi;B01.650.940.800.575.100.100.070
Arctium;B01.650.940.800.575.100.100.072
Arnica;B01.650.940.800.575.100.100.075
Artemisia;B01.650.940.800.575.100.100.100
Artemisia absinthium;B01.650.940.800.575.100.100.100.099
Artemisia annua;B01.650.940.800.575.100.100.100.144
Aster Plant;B01.650.940.800.575.100.100.111
Atractylis;B01.650.940.800.575.100.100.118
Atractylodes;B01.650.940.800.575.100.100.126
Baccharis;B01.650.940.800.575.100.100.133
Bidens;B01.650.940.800.575.100.100.137
Calendula;B01.650.940.800.575.100.100.141
Callilepis;B01.650.940.800.575.100.100.154
Carduus;B01.650.940.800.575.100.100.168
Carthamus;B01.650.940.800.575.100.100.181
Carthamus tinctorius;B01.650.940.800.575.100.100.181.500
Centaurea;B01.650.940.800.575.100.100.188
Chamomile;B01.650.940.800.575.100.100.195
Anthemis;B01.650.940.800.575.100.100.195.099
Chamaemelum;B01.650.940.800.575.100.100.195.288
Matricaria;B01.650.940.800.575.100.100.195.488
Tripleurospermum;B01.650.940.800.575.100.100.195.744
Chicory;B01.650.940.800.575.100.100.200
Chromolaena;B01.650.940.800.575.100.100.203
Chrysanthemum;B01.650.940.800.575.100.100.206
Chrysanthemum cinerariifolium;B01.650.940.800.575.100.100.206.222
Cirsium;B01.650.940.800.575.100.100.227
Cnicus;B01.650.940.800.575.100.100.241
Conyza;B01.650.940.800.575.100.100.244
Coreopsis;B01.650.940.800.575.100.100.248
Crepis;B01.650.940.800.575.100.100.255
Cynara;B01.650.940.800.575.100.100.269
Cynara scolymus;B01.650.940.800.575.100.100.269.500
Dahlia;B01.650.940.800.575.100.100.289
Echinacea;B01.650.940.800.575.100.100.310
Echinops Plant;B01.650.940.800.575.100.100.317
Eclipta;B01.650.940.800.575.100.100.337
Erigeron;B01.650.940.800.575.100.100.342
Eupatorium;B01.650.940.800.575.100.100.347
Flaveria;B01.650.940.800.575.100.100.349
Geigeria;B01.650.940.800.575.100.100.352
Gnaphalium;B01.650.940.800.575.100.100.355
Grindelia;B01.650.940.800.575.100.100.356
Haplopappus;B01.650.940.800.575.100.100.358
Helianthus;B01.650.940.800.575.100.100.400
Helichrysum;B01.650.940.800.575.100.100.425
Inula;B01.650.940.800.575.100.100.471
Lettuce;B01.650.940.800.575.100.100.500
Leuzea;B01.650.940.800.575.100.100.506
Mikania;B01.650.940.800.575.100.100.512
Milk Thistle;B01.650.940.800.575.100.100.525
Montanoa;B01.650.940.800.575.100.100.543
Onopordum;B01.650.940.800.575.100.100.562
Petasites;B01.650.940.800.575.100.100.596
Pulicaria;B01.650.940.800.575.100.100.613
Ratibida;B01.650.940.800.575.100.100.631
Rudbeckia;B01.650.940.800.575.100.100.665
Saussurea;B01.650.940.800.575.100.100.700
Scolymus;B01.650.940.800.575.100.100.750
Scorzonera;B01.650.940.800.575.100.100.775
Senecio;B01.650.940.800.575.100.100.800
Solidago;B01.650.940.800.575.100.100.816
Sonchus;B01.650.940.800.575.100.100.833
Stevia;B01.650.940.800.575.100.100.843
Tagetes;B01.650.940.800.575.100.100.853
Tanacetum;B01.650.940.800.575.100.100.874
Tanacetum parthenium;B01.650.940.800.575.100.100.874.500
Taraxacum;B01.650.940.800.575.100.100.895
Tragopogon;B01.650.940.800.575.100.100.916
Tussilago;B01.650.940.800.575.100.100.958
Verbesina;B01.650.940.800.575.100.100.979
Vernonia;B01.650.940.800.575.100.100.984
Wedelia;B01.650.940.800.575.100.100.989
Xanthium;B01.650.940.800.575.100.100.994
Balanophoraceae;B01.650.940.800.575.100.106
Cynomorium;B01.650.940.800.575.100.106.500
Balsaminaceae;B01.650.940.800.575.100.112
Impatiens;B01.650.940.800.575.100.112.500
Begoniaceae;B01.650.940.800.575.100.118
Berberidaceae;B01.650.940.800.575.100.125
Berberis;B01.650.940.800.575.100.125.249
Caulophyllum;B01.650.940.800.575.100.125.311
Epimedium;B01.650.940.800.575.100.125.342
Mahonia;B01.650.940.800.575.100.125.374
Podophyllum;B01.650.940.800.575.100.125.500
Podophyllum peltatum;B01.650.940.800.575.100.125.500.500
Betulaceae;B01.650.940.800.575.100.137
Alnus;B01.650.940.800.575.100.137.500
Betula;B01.650.940.800.575.100.137.750
Corylus;B01.650.940.800.575.100.137.875
Bignoniaceae;B01.650.940.800.575.100.143
Tabebuia;B01.650.940.800.575.100.143.500
Bixaceae;B01.650.940.800.575.100.146
Bombacaceae;B01.650.940.800.575.100.148
Adansonia;B01.650.940.800.575.100.148.500
Bombax;B01.650.940.800.575.100.148.750
Ceiba;B01.650.940.800.575.100.148.875
Boraginaceae;B01.650.940.800.575.100.150
Amsinckia;B01.650.940.800.575.100.150.122
Borago;B01.650.940.800.575.100.150.188
Comfrey;B01.650.940.800.575.100.150.210
Cordia;B01.650.940.800.575.100.150.327
Echium;B01.650.940.800.575.100.150.385
Heliotropium;B01.650.940.800.575.100.150.444
Lithospermum;B01.650.940.800.575.100.150.501
Pulmonaria;B01.650.940.800.575.100.150.750
Brassicaceae;B01.650.940.800.575.100.157
Arabidopsis;B01.650.940.800.575.100.157.100
Arabis;B01.650.940.800.575.100.157.150
Armoracia;B01.650.940.800.575.100.157.175
Barbarea;B01.650.940.800.575.100.157.187
Brassica;B01.650.940.800.575.100.157.200
Brassica napus;B01.650.940.800.575.100.157.200.249
Brassica rapa;B01.650.940.800.575.100.157.200.277
Mustard Plant;B01.650.940.800.575.100.157.200.500
Capsella;B01.650.940.800.575.100.157.244
Cardamine;B01.650.940.800.575.100.157.255
Crambe Plant;B01.650.940.800.575.100.157.277
Erysimum;B01.650.940.800.575.100.157.357
Isatis;B01.650.940.800.575.100.157.438
Lepidium;B01.650.940.800.575.100.157.600
Lepidium sativum;B01.650.940.800.575.100.157.600.500
Nasturtium;B01.650.940.800.575.100.157.644
Raphanus;B01.650.940.800.575.100.157.711
Rorippa;B01.650.940.800.575.100.157.744
Sinapis;B01.650.940.800.575.100.157.811
Thlaspi;B01.650.940.800.575.100.157.905
Wasabia;B01.650.940.800.575.100.157.952
Bromeliaceae;B01.650.940.800.575.100.159
Ananas;B01.650.940.800.575.100.159.099
Bromelia;B01.650.940.800.575.100.159.244
Tillandsia;B01.650.940.800.575.100.159.622
Burseraceae;B01.650.940.800.575.100.162
Boswellia;B01.650.940.800.575.100.162.111
Bursera;B01.650.940.800.575.100.162.138
Commiphora;B01.650.940.800.575.100.162.166
Buxaceae;B01.650.940.800.575.100.165
Buxus;B01.650.940.800.575.100.165.500
Pachysandra;B01.650.940.800.575.100.165.750
Cactaceae;B01.650.940.800.575.100.168
Opuntia;B01.650.940.800.575.100.168.500
Calycanthaceae;B01.650.940.800.575.100.169
Campanulaceae;B01.650.940.800.575.100.171
Codonopsis;B01.650.940.800.575.100.171.200
Lobelia;B01.650.940.800.575.100.171.600
Platycodon;B01.650.940.800.575.100.171.800
Cannabaceae;B01.650.940.800.575.100.175
Cannabis;B01.650.940.800.575.100.175.500
Humulus;B01.650.940.800.575.100.175.750
Capparaceae;B01.650.940.800.575.100.177
Capparis;B01.650.940.800.575.100.177.500
Cleome;B01.650.940.800.575.100.177.750
Caprifoliaceae;B01.650.940.800.575.100.180
Lonicera;B01.650.940.800.575.100.180.388
Sambucus;B01.650.940.800.575.100.180.500
Sambucus nigra;B01.650.940.800.575.100.180.500.500
Symphoricarpos;B01.650.940.800.575.100.180.625
Viburnum;B01.650.940.800.575.100.180.750
Caricaceae;B01.650.940.800.575.100.192
Carica;B01.650.940.800.575.100.192.500
Caryophyllaceae;B01.650.940.800.575.100.195
Agrostemma;B01.650.940.800.575.100.195.055
Arenaria Plant;B01.650.940.800.575.100.195.077
Dianthus;B01.650.940.800.575.100.195.222
Lychnis;B01.650.940.800.575.100.195.416
Saponaria;B01.650.940.800.575.100.195.611
Silene;B01.650.940.800.575.100.195.655
Stellaria;B01.650.940.800.575.100.195.827
Vaccaria;B01.650.940.800.575.100.195.913
Cecropiaceae;B01.650.940.800.575.100.196
Cecropia Plant;B01.650.940.800.575.100.196.188
Celastraceae;B01.650.940.800.575.100.197
Catha;B01.650.940.800.575.100.197.155
Celastrus;B01.650.940.800.575.100.197.199
Euonymus;B01.650.940.800.575.100.197.366
Maytenus;B01.650.940.800.575.100.197.577
Salacia;B01.650.940.800.575.100.197.682
Tripterygium;B01.650.940.800.575.100.197.788
Chenopodiaceae;B01.650.940.800.575.100.200
Atriplex;B01.650.940.800.575.100.200.199
Bassia scoparia;B01.650.940.800.575.100.200.299
Beta vulgaris;B01.650.940.800.575.100.200.399
Chenopodium;B01.650.940.800.575.100.200.599
Chenopodium album;B01.650.940.800.575.100.200.599.500
Chenopodium ambrosioides;B01.650.940.800.575.100.200.599.750
Chenopodium quinoa;B01.650.940.800.575.100.200.599.875
Salsola;B01.650.940.800.575.100.200.699
Spinacia oleracea;B01.650.940.800.575.100.200.800
Cistaceae;B01.650.940.800.575.100.204
Cistus;B01.650.940.800.575.100.204.177
Clethraceae;B01.650.940.800.575.100.216
Combretaceae;B01.650.940.800.575.100.228
Combretum;B01.650.940.800.575.100.228.166
Terminalia;B01.650.940.800.575.100.228.583
Commelinaceae;B01.650.940.800.575.100.233
Commelina;B01.650.940.800.575.100.233.222
Tradescantia;B01.650.940.800.575.100.233.611
Convolvulaceae;B01.650.940.800.575.100.238
Bonamia Plant;B01.650.940.800.575.100.238.124
Calystegia;B01.650.940.800.575.100.238.249
Convolvulus;B01.650.940.800.575.100.238.374
Ipomoea;B01.650.940.800.575.100.238.500
Ipomoea batatas;B01.650.940.800.575.100.238.500.500
Ipomoea nil;B01.650.940.800.575.100.238.500.750
Cornaceae;B01.650.940.800.575.100.241
Cornus;B01.650.940.800.575.100.241.299
Corsiaceae;B01.650.940.800.575.100.270
Cucurbitaceae;B01.650.940.800.575.100.300
Bryonia;B01.650.940.800.575.100.300.093
Citrullus;B01.650.940.800.575.100.300.140
Citrullus colocynthis;B01.650.940.800.575.100.300.140.500
Cucumis;B01.650.940.800.575.100.300.188
Cucumis melo;B01.650.940.800.575.100.300.188.444
Cucumis sativus;B01.650.940.800.575.100.300.188.666
Cucurbita;B01.650.940.800.575.100.300.222
Gynostemma;B01.650.940.800.575.100.300.444
Luffa;B01.650.940.800.575.100.300.522
Momordica;B01.650.940.800.575.100.300.655
Momordica charantia;B01.650.940.800.575.100.300.655.249
Trichosanthes;B01.650.940.800.575.100.300.827
Cuscuta;B01.650.940.800.575.100.306
Cyperaceae;B01.650.940.800.575.100.312
Carex Plant;B01.650.940.800.575.100.312.099
Cyperus;B01.650.940.800.575.100.312.199
Eleocharis;B01.650.940.800.575.100.312.299
Dilleniaceae;B01.650.940.800.575.100.318
Dioncophyllaceae;B01.650.940.800.575.100.321
Dioscoreaceae;B01.650.940.800.575.100.325
Dioscorea;B01.650.940.800.575.100.325.500
Tamus;B01.650.940.800.575.100.325.750
Dipsacaceae;B01.650.940.800.575.100.327
Droseraceae;B01.650.940.800.575.100.329
Drosera;B01.650.940.800.575.100.329.500
Ebenaceae;B01.650.940.800.575.100.333
Diospyros;B01.650.940.800.575.100.333.500
Elaeagnaceae;B01.650.940.800.575.100.336
Hippophae;B01.650.940.800.575.100.336.500
Elaeocarpaceae;B01.650.940.800.575.100.339
Ericaceae;B01.650.940.800.575.100.343
Arctostaphylos;B01.650.940.800.575.100.343.099
Calluna;B01.650.940.800.575.100.343.211
Gaultheria;B01.650.940.800.575.100.343.267
Ledum;B01.650.940.800.575.100.343.324
Rhododendron;B01.650.940.800.575.100.343.549
Vaccinium;B01.650.940.800.575.100.343.774
Blueberry Plant;B01.650.940.800.575.100.343.774.249
Huckleberry Plant;B01.650.940.800.575.100.343.774.500
Vaccinium macrocarpon;B01.650.940.800.575.100.343.774.750
Vaccinium myrtillus;B01.650.940.800.575.100.343.774.875
Vaccinium vitis-idaea;B01.650.940.800.575.100.343.774.937
Eriocaulaceae;B01.650.940.800.575.100.344
Erythroxylaceae;B01.650.940.800.575.100.346
Coca;B01.650.940.800.575.100.346.500
Eucommiaceae;B01.650.940.800.575.100.348
Euphorbiaceae;B01.650.940.800.575.100.350
Acalypha;B01.650.940.800.575.100.350.038
Aleurites;B01.650.940.800.575.100.350.077
Croton;B01.650.940.800.575.100.350.199
Euphorbia;B01.650.940.800.575.100.350.333
Hevea;B01.650.940.800.575.100.350.399
Hippomane;B01.650.940.800.575.100.350.461
Jatropha;B01.650.940.800.575.100.350.488
Mallotus Plant;B01.650.940.800.575.100.350.505
Manihot;B01.650.940.800.575.100.350.535
Phyllanthus;B01.650.940.800.575.100.350.622
Phyllanthus emblica;B01.650.940.800.575.100.350.622.500
Ricinus;B01.650.940.800.575.100.350.650
Castor Bean;B01.650.940.800.575.100.350.650.300
Sapium;B01.650.940.800.575.100.350.737
Suregada;B01.650.940.800.575.100.350.825
Fabaceae;B01.650.940.800.575.100.401
Abrus;B01.650.940.800.575.100.401.012
Acacia;B01.650.940.800.575.100.401.025
Albizzia;B01.650.940.800.575.100.401.051
Arachis hypogaea;B01.650.940.800.575.100.401.077
Aspalathus;B01.650.940.800.575.100.401.082
Astragalus Plant;B01.650.940.800.575.100.401.087
Astragalus gummifer;B01.650.940.800.575.100.401.087.500
Astragalus membranaceus;B01.650.940.800.575.100.401.087.750
Bauhinia;B01.650.940.800.575.100.401.088
Butea;B01.650.940.800.575.100.401.090
Caesalpinia;B01.650.940.800.575.100.401.093
Cajanus;B01.650.940.800.575.100.401.094
Canavalia;B01.650.940.800.575.100.401.096
Caragana;B01.650.940.800.575.100.401.098
Cassia;B01.650.940.800.575.100.401.100
Castanospermum;B01.650.940.800.575.100.401.112
Chamaecrista;B01.650.940.800.575.100.401.125
Cicer;B01.650.940.800.575.100.401.150
Clitoria;B01.650.940.800.575.100.401.162
Crotalaria;B01.650.940.800.575.100.401.175
Cyamopsis;B01.650.940.800.575.100.401.181
Cyclopia Plant;B01.650.940.800.575.100.401.184
Cytisus;B01.650.940.800.575.100.401.187
Dalbergia;B01.650.940.800.575.100.401.190
Derris;B01.650.940.800.575.100.401.191
Dioclea;B01.650.940.800.575.100.401.192
Dipteryx;B01.650.940.800.575.100.401.194
Dolichos;B01.650.940.800.575.100.401.196
Erythrina;B01.650.940.800.575.100.401.200
Galega;B01.650.940.800.575.100.401.250
Genista;B01.650.940.800.575.100.401.262
Gleditsia;B01.650.940.800.575.100.401.275
Glycyrrhiza;B01.650.940.800.575.100.401.300
Glycyrrhiza uralensis;B01.650.940.800.575.100.401.300.500
Griffonia;B01.650.940.800.575.100.401.318
Hymenaea;B01.650.940.800.575.100.401.327
Indigofera;B01.650.940.800.575.100.401.337
Laburnum;B01.650.940.800.575.100.401.356
Lathyrus;B01.650.940.800.575.100.401.375
Lens Plant;B01.650.940.800.575.100.401.450
Lespedeza;B01.650.940.800.575.100.401.525
Lotus;B01.650.940.800.575.100.401.562
Lupinus;B01.650.940.800.575.100.401.571
Maackia;B01.650.940.800.575.100.401.581
Medicago;B01.650.940.800.575.100.401.590
Medicago sativa;B01.650.940.800.575.100.401.590.500
Medicago truncatula;B01.650.940.800.575.100.401.590.750
Melilotus;B01.650.940.800.575.100.401.592
Millettia;B01.650.940.800.575.100.401.594
Mimosa;B01.650.940.800.575.100.401.596
Mucuna;B01.650.940.800.575.100.401.598
Myroxylon;B01.650.940.800.575.100.401.601
Oxytropis;B01.650.940.800.575.100.401.606
Pachyrhizus;B01.650.940.800.575.100.401.611
Peas;B01.650.940.800.575.100.401.625
Phaseolus;B01.650.940.800.575.100.401.649
Physostigma;B01.650.940.800.575.100.401.694
Pongamia;B01.650.940.800.575.100.401.698
Prosopis;B01.650.940.800.575.100.401.702
Psoralea;B01.650.940.800.575.100.401.710
Pterocarpus;B01.650.940.800.575.100.401.712
Pueraria;B01.650.940.800.575.100.401.714
Robinia;B01.650.940.800.575.100.401.716
Senna Plant;B01.650.940.800.575.100.401.718
Sesbania;B01.650.940.800.575.100.401.726
Sophora;B01.650.940.800.575.100.401.734
Soybeans;B01.650.940.800.575.100.401.750
Spartium;B01.650.940.800.575.100.401.812
Sphenostylis;B01.650.940.800.575.100.401.843
Tamarindus;B01.650.940.800.575.100.401.875
Tephrosia;B01.650.940.800.575.100.401.890
Tetrapleura;B01.650.940.800.575.100.401.898
Trifolium;B01.650.940.800.575.100.401.906
Trigonella;B01.650.940.800.575.100.401.937
Ulex;B01.650.940.800.575.100.401.952
Vicia;B01.650.940.800.575.100.401.968
Vicia faba;B01.650.940.800.575.100.401.968.500
Vicia sativa;B01.650.940.800.575.100.401.968.750
Wisteria;B01.650.940.800.575.100.401.984
Fagaceae;B01.650.940.800.575.100.425
Fagus;B01.650.940.800.575.100.425.249
Quercus;B01.650.940.800.575.100.425.500
Flacourtiaceae;B01.650.940.800.575.100.437
Casearia;B01.650.940.800.575.100.437.249
Ryania;B01.650.940.800.575.100.437.500
Fumariaceae;B01.650.940.800.575.100.443
Corydalis;B01.650.940.800.575.100.443.500
Fumaria;B01.650.940.800.575.100.443.750
Gentianaceae;B01.650.940.800.575.100.450
Centaurium;B01.650.940.800.575.100.450.188
Gentiana;B01.650.940.800.575.100.450.391
Gentianella;B01.650.940.800.575.100.450.492
Swertia;B01.650.940.800.575.100.450.594
Geraniaceae;B01.650.940.800.575.100.462
Geranium;B01.650.940.800.575.100.462.500
Pelargonium;B01.650.940.800.575.100.462.750
Hamamelidaceae;B01.650.940.800.575.100.475
Hamamelis;B01.650.940.800.575.100.475.500
Liquidambar;B01.650.940.800.575.100.475.750
Hernandiaceae;B01.650.940.800.575.100.489
Hippocastanaceae;B01.650.940.800.575.100.503
Aesculus;B01.650.940.800.575.100.503.500
Hippocrateaceae;B01.650.940.800.575.100.517
Hydrophyllaceae;B01.650.940.800.575.100.531
Eriodictyon;B01.650.940.800.575.100.531.500
Illicium;B01.650.940.800.575.100.539
Iridaceae;B01.650.940.800.575.100.549
Crocus;B01.650.940.800.575.100.549.500
Iris Plant;B01.650.940.800.575.100.549.750
Juglandaceae;B01.650.940.800.575.100.569
Carya;B01.650.940.800.575.100.569.249
Juglans;B01.650.940.800.575.100.569.500
Krameriaceae;B01.650.940.800.575.100.572
Lamiaceae;B01.650.940.800.575.100.575
Agastache;B01.650.940.800.575.100.575.049
Ajuga;B01.650.940.800.575.100.575.051
Ballota;B01.650.940.800.575.100.575.075
Coleus;B01.650.940.800.575.100.575.166
Hedeoma;B01.650.940.800.575.100.575.231
Hyptis;B01.650.940.800.575.100.575.297
Isodon;B01.650.940.800.575.100.575.362
Lavandula;B01.650.940.800.575.100.575.428
Leonurus;B01.650.940.800.575.100.575.446
Lycopus;B01.650.940.800.575.100.575.455
Marrubium;B01.650.940.800.575.100.575.465
Melissa;B01.650.940.800.575.100.575.474
Mentha;B01.650.940.800.575.100.575.483
Mentha piperita;B01.650.940.800.575.100.575.483.444
Mentha pulegium;B01.650.940.800.575.100.575.483.500
Mentha spicata;B01.650.940.800.575.100.575.483.750
Monarda;B01.650.940.800.575.100.575.510
Nepeta;B01.650.940.800.575.100.575.538
Ocimum;B01.650.940.800.575.100.575.647
Ocimum basilicum;B01.650.940.800.575.100.575.647.500
Origanum;B01.650.940.800.575.100.575.702
Orthosiphon;B01.650.940.800.575.100.575.729
Perilla;B01.650.940.800.575.100.575.743
Perilla frutescens;B01.650.940.800.575.100.575.743.500
Phlomis;B01.650.940.800.575.100.575.750
Plectranthus;B01.650.940.800.575.100.575.753
Prunella;B01.650.940.800.575.100.575.755
Rosmarinus;B01.650.940.800.575.100.575.757
Salvia;B01.650.940.800.575.100.575.922
Salvia miltiorrhiza;B01.650.940.800.575.100.575.922.750
Salvia officinalis;B01.650.940.800.575.100.575.922.770
Satureja;B01.650.940.800.575.100.575.935
Scutellaria;B01.650.940.800.575.100.575.942
Scutellaria baicalensis;B01.650.940.800.575.100.575.942.500
Sideritis;B01.650.940.800.575.100.575.945
Stachys;B01.650.940.800.575.100.575.947
Teucrium;B01.650.940.800.575.100.575.948
Thymus Plant;B01.650.940.800.575.100.575.974
Lauraceae;B01.650.940.800.575.100.590
Cinnamomum;B01.650.940.800.575.100.590.149
Cinnamomum aromaticum;B01.650.940.800.575.100.590.149.124
Cinnamomum camphora;B01.650.940.800.575.100.590.149.249
Cinnamomum zeylanicum;B01.650.940.800.575.100.590.149.500
Cryptocarya;B01.650.940.800.575.100.590.177
Laurus;B01.650.940.800.575.100.590.399
Lindera;B01.650.940.800.575.100.590.524
Litsea;B01.650.940.800.575.100.590.555
Ocotea;B01.650.940.800.575.100.590.587
Persea;B01.650.940.800.575.100.590.650
Sassafras;B01.650.940.800.575.100.590.737
Umbellularia;B01.650.940.800.575.100.590.825
Lecythidaceae;B01.650.940.800.575.100.600
Barringtonia;B01.650.940.800.575.100.600.099
Bertholletia;B01.650.940.800.575.100.600.133
Liliaceae;B01.650.940.800.575.100.610
Allium;B01.650.940.800.575.100.610.100
Chive;B01.650.940.800.575.100.610.100.149
Garlic;B01.650.940.800.575.100.610.100.300
Onions;B01.650.940.800.575.100.610.100.600
Shallots;B01.650.940.800.575.100.610.100.800
Alstroemeria;B01.650.940.800.575.100.610.111
Anemarrhena;B01.650.940.800.575.100.610.117
Asparagus Plant;B01.650.940.800.575.100.610.162
Camassia;B01.650.940.800.575.100.610.181
Colchicum;B01.650.940.800.575.100.610.200
Convallaria;B01.650.940.800.575.100.610.211
Cordyline;B01.650.940.800.575.100.610.222
Crinum;B01.650.940.800.575.100.610.233
Curculigo;B01.650.940.800.575.100.610.255
Dracaena;B01.650.940.800.575.100.610.277
Fritillaria;B01.650.940.800.575.100.610.313
Galanthus;B01.650.940.800.575.100.610.350
Hemerocallis;B01.650.940.800.575.100.610.387
Hosta;B01.650.940.800.575.100.610.406
Hyacinthus;B01.650.940.800.575.100.610.415
Hypoxis;B01.650.940.800.575.100.610.425
